RowMin,RowMax,ByPath,ByProject,PopID,Pop1,Pop2
53,54,NULL,NULL,11,0,11
53,54,NULL,NULL,12,0,12
53,54,NULL,NULL,13,0,13
53,54,NULL,NULL,14,0,14
53,54,NULL,NULL,15,0,15
53,54,NULL,NULL,18,0,18
53,54,NULL,NULL,19,0,19
53,54,NULL,NULL,45,0,45
53,54,NULL,NULL,46,0,46
53,54,NULL,NULL,48,0,48
55,55,NULL,NULL,50,0,50
55,55,NULL,NULL,51,0,51
55,55,NULL,NULL,52,0,52
55,55,NULL,NULL,53,0,53
55,55,NULL,NULL,54,0,54
55,55,NULL,NULL,55,0,55
55,55,NULL,NULL,56,0,56
55,55,NULL,NULL,57,0,57
55,55,NULL,NULL,58,0,58
55,55,NULL,NULL,59,0,59
55,55,NULL,NULL,60,0,60
55,55,NULL,NULL,61,0,61
55,55,NULL,NULL,62,0,62
55,55,NULL,NULL,63,0,63
55,55,NULL,NULL,64,0,64
55,55,NULL,NULL,65,0,65
55,55,NULL,NULL,66,0,66
55,55,NULL,NULL,67,0,67
55,55,NULL,NULL,68,0,68
55,55,NULL,NULL,69,0,69
55,55,NULL,NULL,70,0,70
55,55,NULL,NULL,71,0,71
55,55,NULL,NULL,72,0,72
55,55,NULL,NULL,73,0,73
55,55,NULL,NULL,74,0,74
55,55,NULL,NULL,75,0,75
55,55,NULL,NULL,76,0,76
55,55,NULL,NULL,77,0,77
55,55,NULL,NULL,78,0,78
55,55,NULL,NULL,79,0,79
55,55,NULL,NULL,80,0,80
55,55,NULL,NULL,81,0,81
55,55,NULL,NULL,82,0,82
55,55,NULL,NULL,83,0,83
55,55,NULL,NULL,84,0,84
55,55,NULL,NULL,85,0,85
55,55,NULL,NULL,86,0,86
55,55,NULL,NULL,87,0,87
55,55,NULL,NULL,88,0,88
55,55,NULL,NULL,89,0,89
55,55,NULL,NULL,90,0,90
55,55,NULL,NULL,91,0,91
55,55,NULL,NULL,92,0,92
55,55,NULL,NULL,93,0,93
55,55,NULL,NULL,94,0,94
55,55,NULL,NULL,95,0,95
55,55,NULL,NULL,96,0,96
55,55,NULL,NULL,97,0,97
55,55,NULL,NULL,1190,0,1190
55,55,NULL,NULL,1191,0,1191
55,55,NULL,NULL,1290,0,1290
55,55,NULL,NULL,1291,0,1291
55,55,NULL,NULL,5053,50,53
55,55,NULL,NULL,5054,50,54
55,55,NULL,NULL,5055,50,55
55,55,NULL,NULL,5056,50,56
55,55,NULL,NULL,5057,50,57
55,55,NULL,NULL,5058,50,58
55,55,NULL,NULL,5059,50,59
55,55,NULL,NULL,5060,50,60
55,55,NULL,NULL,5061,50,61
55,55,NULL,NULL,5062,50,62
55,55,NULL,NULL,5063,50,63
55,55,NULL,NULL,5064,50,64
55,55,NULL,NULL,5065,50,65
55,55,NULL,NULL,5066,50,66
55,55,NULL,NULL,5067,50,67
55,55,NULL,NULL,5068,50,68
55,55,NULL,NULL,5069,50,69
55,55,NULL,NULL,5070,50,70
55,55,NULL,NULL,5071,50,71
55,55,NULL,NULL,5072,50,72
55,55,NULL,NULL,5073,50,73
55,55,NULL,NULL,5074,50,74
55,55,NULL,NULL,5075,50,75
55,55,NULL,NULL,5076,50,76
55,55,NULL,NULL,5077,50,77
55,55,NULL,NULL,5078,50,78
55,55,NULL,NULL,5079,50,79
55,55,NULL,NULL,5080,50,80
55,55,NULL,NULL,5081,50,81
55,55,NULL,NULL,5082,50,82
55,55,NULL,NULL,5083,50,83
55,55,NULL,NULL,5084,50,84
55,55,NULL,NULL,5085,50,85
